campaign_name,dataset_name,image_name,latitude,longitude,image_url,image_width,image_height
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050655_982_FC16.png,-33.5820027,115.2262242,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050656_482_FC16.png,-33.5820076,115.2262162,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050656_982_FC16.png,-33.5820116,115.226213,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050657_483_FC16.png,-33.582015,115.2262112,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050657_983_FC16.png,-33.5820191,115.226209,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050658_483_FC16.png,-33.5820232,115.2262065,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050658_983_FC16.png,-33.5820271,115.2262069,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050659_483_FC16.png,-33.5820308,115.2262077,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050659_984_FC16.png,-33.5820335,115.2262102,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050700_484_FC16.png,-33.5820355,115.2262124,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050700_984_FC16.png,-33.582037,115.226216,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050701_484_FC16.png,-33.5820384,115.2262196,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050701_984_FC16.png,-33.582039,115.2262246,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050702_484_FC16.png,-33.5820397,115.2262296,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050702_985_FC16.png,-33.5820389,115.2262345,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050703_485_FC16.png,-33.582038,115.2262386,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050703_985_FC16.png,-33.5820361,115.2262431,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050704_485_FC16.png,-33.5820344,115.2262469,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050704_985_FC16.png,-33.5820315,115.2262504,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050705_486_FC16.png,-33.5820287,115.2262529,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050705_986_FC16.png,-33.5820255,115.2262551,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050706_486_FC16.png,-33.5820226,115.2262568,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050706_986_FC16.png,-33.5820188,115.2262581,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050707_486_FC16.png,-33.5820151,115.2262587,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050707_987_FC16.png,-33.5820111,115.2262591,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050708_487_FC16.png,-33.5820076,115.226259,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050708_987_FC16.png,-33.5820037,115.2262586,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050709_487_FC16.png,-33.5820004,115.2262576,,1388,1038
,,,,,,,
AUV2015,r20150526_050219_wa-gb-auv-03,PR_20150526_050709_987_FC16.png,-33.581997,115.2262566,,1388,1038
,,,,,,,
